OBS_DATE,RAIL_PM,RAIL_PM_D11
Jan-2000," 366,607,410 "," 445,698,448 "
Feb-2000," 366,139,276 "," 444,779,748 "
Mar-2000," 453,096,388 "," 454,397,465 "
Apr-2000," 473,751,011 "," 466,382,777 "
May-2000," 481,725,263 "," 474,464,109 "
Jun-2000," 517,102,460 "," 457,601,799 "
Jul-2000," 564,747,276 "," 471,431,077 "
Aug-2000," 558,060,051 "," 476,124,067 "
Sep-2000," 446,489,429 "," 482,894,356 "
Oct-2000," 462,329,685 "," 487,078,819 "
Nov-2000," 442,268,378 "," 474,119,377 "
Dec-2000," 461,651,082 "," 456,934,795 "
Jan-2001," 379,458,113 "," 454,527,956 "
Feb-2001," 366,288,212 "," 452,999,200 "
Mar-2001," 448,912,584 "," 453,435,484 "
Apr-2001," 455,496,342 "," 445,213,190 "
May-2001," 462,376,555 "," 453,131,471 "
Jun-2001," 528,690,495 "," 473,789,882 "
Jul-2001," 564,037,290 "," 468,215,159 "
Aug-2001," 562,266,005 "," 477,307,112 "
Sep-2001," 446,266,947 "," 488,544,495 "
Oct-2001," 452,095,177 "," 476,266,735 "
Nov-2001," 446,094,295 "," 472,772,690 "
Dec-2001," 479,188,686 "," 476,872,041 "
Jan-2002," 398,443,099 "," 470,713,323 "
Feb-2002," 397,948,979 "," 485,006,194 "
Mar-2002," 459,147,305 "," 442,455,275 "
Apr-2002," 453,149,024 "," 467,832,871 "
May-2002," 461,622,928 "," 447,747,805 "
Jun-2002," 499,734,575 "," 447,996,893 "
Jul-2002," 564,023,742 "," 467,872,582 "
Aug-2002," 516,067,118 "," 436,401,115 "
Sep-2002," 385,089,969 "," 426,422,463 "
Oct-2002," 399,247,828 "," 421,340,503 "
Nov-2002," 376,011,411 "," 428,081,555 "
Dec-2002," 448,245,893 "," 417,966,655 "
Jan-2003," 393,287,373 "," 460,248,634 "
Feb-2003," 390,041,481 "," 478,304,606 "
Mar-2003," 472,573,962 "," 484,219,183 "
Apr-2003," 483,653,074 "," 476,793,345 "
May-2003," 489,484,678 "," 478,205,849 "
Jun-2003," 531,138,943 "," 475,445,961 "
Jul-2003," 578,767,927 "," 480,964,070 "
Aug-2003," 557,897,322 "," 482,072,505 "
Sep-2003," 427,807,444 "," 471,021,994 "
Oct-2003," 463,025,617 "," 478,595,417 "
Nov-2003," 448,181,812 "," 475,720,445 "
Dec-2003," 489,403,554 "," 481,922,223 "
Jan-2004," 410,338,691 "," 480,795,134 "
Feb-2004," 389,778,365 "," 472,278,092 "
Mar-2004," 453,014,590 "," 463,686,756 "
Apr-2004," 471,116,666 "," 461,156,409 "
May-2004," 472,861,212 "," 466,048,025 "
Jun-2004," 514,365,919 "," 458,418,629 "
Jul-2004," 554,813,029 "," 455,270,932 "
Aug-2004," 511,216,651 "," 437,717,444 "
Sep-2004," 401,403,280 "," 442,410,674 "
Oct-2004," 436,908,280 "," 453,791,227 "
Nov-2004," 440,222,335 "," 459,195,221 "
Dec-2004," 476,798,294 "," 463,184,946 "
Jan-2005," 378,368,103 "," 456,048,476 "
Feb-2005," 351,583,660 "," 447,828,157 "
Mar-2005," 463,828,081 "," 453,462,286 "
Apr-2005," 430,496,434 "," 451,787,489 "
May-2005," 462,014,277 "," 450,448,615 "
Jun-2005," 508,598,324 "," 450,477,908 "
Jul-2005," 548,229,054 "," 448,619,153 "
Aug-2005," 511,556,316 "," 437,837,809 "
Sep-2005," 436,175,168 "," 470,854,479 "
Oct-2005," 432,503,304 "," 448,824,161 "
Nov-2005," 435,866,215 "," 450,279,220 "
Dec-2005," 447,261,670 "," 437,055,646 "
Jan-2006," 363,830,405 "," 441,859,294 "
Feb-2006," 347,575,222 "," 449,920,379 "
Mar-2006," 430,329,187 "," 441,982,841 "
Apr-2006," 445,609,435 "," 452,010,788 "
May-2006," 459,957,974 "," 446,314,956 "
Jun-2006," 516,527,472 "," 453,747,158 "
Jul-2006," 549,393,934 "," 451,244,186 "
Aug-2006," 530,942,270 "," 454,631,225 "
Sep-2006," 427,768,908 "," 463,298,976 "
Oct-2006," 451,598,087 "," 462,522,673 "
Nov-2006," 451,610,146 "," 461,389,599 "
Dec-2006," 461,370,074 "," 452,699,514 "
Jan-2007," 377,529,725 "," 458,507,072 "
Feb-2007," 360,542,790 "," 468,672,473 "
Mar-2007," 459,164,806 "," 476,139,536 "
Apr-2007," 470,429,231 "," 476,531,924 "
May-2007," 494,257,576 "," 477,907,091 "
Jun-2007," 545,207,971 "," 485,400,070 "
Jul-2007," 585,837,053 "," 482,656,974 "
Aug-2007," 570,807,078 "," 489,253,256 "
Sep-2007," 451,772,968 "," 488,493,819 "
Oct-2007," 483,184,463 "," 492,680,213 "
Nov-2007," 503,151,672 "," 509,221,761 "
Dec-2007," 508,739,922 "," 503,834,128 "
Jan-2008," 416,211,470 "," 498,511,250 "
Feb-2008," 395,912,010 "," 495,914,171 "
Mar-2008," 504,552,405 "," 502,212,758 "
Apr-2008," 473,811,702 "," 504,140,483 "
May-2008," 550,928,592 "," 531,509,140 "
Jun-2008," 580,290,736 "," 520,325,862 "
Jul-2008," 645,144,911 "," 540,000,401 "
Aug-2008," 620,188,551 "," 543,496,337 "
Sep-2008," 500,634,771 "," 534,465,046 "
Oct-2008," 517,898,247 "," 521,597,625 "
Nov-2008," 484,492,078 "," 499,149,120 "
Dec-2008," 511,270,950 "," 503,156,550 "
Jan-2009," 419,766,348 "," 503,130,398 "
Feb-2009," 376,710,497 "," 491,959,801 "
Mar-2009," 456,227,991 "," 472,131,195 "
Apr-2009," 469,783,200 "," 474,035,002 "
May-2009," 494,908,098 "," 474,256,269 "
Jun-2009," 542,873,119 "," 482,228,314 "
Jul-2009," 596,670,353 "," 487,816,221 "
Aug-2009," 582,302,101 "," 510,876,428 "
Sep-2009," 462,787,005 "," 497,646,732 "
Oct-2009," 493,132,875 "," 501,042,184 "
Nov-2009," 498,855,768 "," 511,233,328 "
Dec-2009," 537,980,573 "," 528,090,425 "
Jan-2010," 440,854,078 "," 527,512,108 "
Feb-2010," 405,905,875 "," 522,506,151 "
Mar-2010," 538,675,366 "," 537,259,180 "
Apr-2010," 520,013,629 "," 531,700,809 "
May-2010," 544,408,276 "," 525,271,550 "
Jun-2010," 604,206,171 "," 542,713,950 "
Jul-2010," 669,880,427 "," 565,699,764 "
Aug-2010," 597,056,638 "," 524,517,493 "
Sep-2010," 497,091,526 "," 531,863,895 "
Oct-2010," 531,024,449 "," 542,286,617 "
Nov-2010," 528,519,429 "," 541,625,926 "
Dec-2010," 558,069,744 "," 542,373,609 "
Jan-2011," 456,336,772 "," 548,451,037 "
Feb-2011," 436,196,722 "," 553,985,146 "
Mar-2011," 566,357,389 "," 573,664,472 "
Apr-2011," 572,508,869 "," 574,135,813 "
May-2011," 584,806,522 "," 562,329,498 "
Jun-2011," 595,163,810 "," 529,831,962 "
Jul-2011," 632,786,423 "," 530,798,800 "
Aug-2011," 581,116,991 "," 509,181,627 "
Sep-2011," 509,094,731 "," 540,512,992 "
Oct-2011," 543,403,112 "," 560,124,839 "
Nov-2011," 552,477,847 "," 566,618,096 "
Dec-2011," 557,374,424 "," 543,074,875 "
Jan-2012," 463,005,361 "," 555,302,716 "
Feb-2012," 461,139,329 "," 571,876,343 "
Mar-2012," 544,100,123 "," 547,489,967 "
Apr-2012," 585,609,840 "," 587,099,819 "
May-2012," 594,778,477 "," 570,767,355 "
Jun-2012," 642,263,746 "," 576,927,937 "
Jul-2012," 663,965,533 "," 562,582,678 "
Aug-2012," 639,545,067 "," 560,771,171 "
Sep-2012," 533,542,490 "," 573,263,178 "
Oct-2012," 539,908,156 "," 555,659,491 "
Nov-2012," 534,831,976 "," 542,456,622 "
Dec-2012," 577,219,034 "," 565,649,918 "
Jan-2013," 478,056,074 "," 572,025,126 "
Feb-2013," 449,136,459 "," 571,206,811 "
Mar-2013," 604,193,668 "," 586,741,666 "
Apr-2013," 547,267,811 "," 573,953,553 "
May-2013," 598,536,892 "," 570,317,505 "
Jun-2013," 638,602,721 "," 575,490,022 "
Jul-2013," 681,357,191 "," 577,331,776 "
Aug-2013," 649,933,765 "," 572,481,985 "
Sep-2013," 517,765,302 "," 551,183,269 "
Oct-2013," 543,695,520 "," 560,206,840 "
Nov-2013," 519,835,331 "," 555,558,794 "
Dec-2013," 604,977,613 "," 565,061,035 "
Jan-2014," 466,418,567 "," 557,888,428 "
Feb-2014," 424,362,057 "," 550,194,777 "
Mar-2014," 542,911,331 "," 554,581,289 "
Apr-2014," 545,773,080 "," 551,646,535 "
May-2014," 581,325,298 "," 557,296,962 "
Jun-2014," 624,637,290 "," 556,469,647 "
Jul-2014," 672,539,892 "," 563,621,910 "
Aug-2014," 649,665,562 "," 571,588,667 "
Sep-2014," 540,029,397 "," 572,190,081 "
Oct-2014," 554,539,946 "," 567,135,659 "
Nov-2014," 546,544,981 "," 560,282,953 "
Dec-2014," 587,913,029 "," 570,051,810 "
Jan-2015," 458,200,128 "," 553,917,890 "
Feb-2015," 430,056,703 "," 560,238,337 "
Mar-2015," 556,689,651 "," 560,099,348 "
Apr-2015," 541,203,782 "," 557,203,007 "
May-2015," 539,871,332 "," 518,481,906 "
Jun-2015," 620,954,019 "," 551,479,355 "
Jul-2015," 680,358,542 "," 563,298,671 "
Aug-2015," 627,586,111 "," 552,146,524 "
Sep-2015," 519,017,227 "," 550,222,503 "
Oct-2015," 523,223,360 "," 537,206,989 "
Nov-2015," 538,968,201 "," 545,919,251 "
Dec-2015," 561,992,627 "," 543,019,560 "
Jan-2016," 443,214,812 "," 541,298,402 "
Feb-2016," 425,393,477 "," 551,018,729 "
Mar-2016," 555,131,660 "," 548,001,873 "
Apr-2016," 512,433,020 "," 543,514,021 "
May-2016," 571,922,265 "," 551,596,839 "
Jun-2016," 624,827,889 "," 552,854,912 "
Jul-2016," 681,258,622 "," 566,870,405 "
Aug-2016," 622,399,656 "," 544,060,438 "
Sep-2016," 529,746,419 "," 555,548,537 "
Oct-2016," 515,715,563 "," 531,407,440 "
Nov-2016," 541,014,515 "," 543,467,039 "
Dec-2016," 562,539,179 "," 543,685,063 "
Jan-2017," 458,016,423 "," 557,577,404 "
Feb-2017," 405,865,664 "," 543,398,118 "
Mar-2017," 530,748,447 "," 547,395,720 "
Apr-2017," 561,148,298 "," 574,050,861 "
May-2017," 574,606,036 "," 553,611,124 "
Jun-2017," 636,313,142 "," 559,331,606 "
Jul-2017," 667,515,087 "," 555,736,949 "
Aug-2017," 628,885,839 "," 550,089,233 "
Sep-2017," 511,006,011 "," 541,248,799 "
Oct-2017," 544,835,510 "," 554,760,572 "
Nov-2017," 552,222,667 "," 548,766,581 "
Dec-2017," 558,435,738 "," 542,601,742 "
Jan-2018," 438,710,211 "," 537,591,890 "
Feb-2018," 397,611,189 "," 537,849,222 "
Mar-2018," 507,584,752 "," 507,870,180 "
Apr-2018," 502,623,911 "," 535,910,131 "
May-2018," 556,052,014 "," 533,719,615 "
Jun-2018," 600,475,156 "," 526,618,665 "
Jul-2018," 655,798,387 "," 541,059,049 "
Aug-2018," 622,165,201 "," 539,635,094 "
Sep-2018," 495,908,489 "," 530,887,693 "
Oct-2018," 541,695,863 "," 548,697,346 "
Nov-2018," 561,549,866 "," 551,820,872 "
Dec-2018," 551,882,741 "," 540,017,969 "
Jan-2019," 443,790,117 "," 541,022,306 "
Feb-2019," 400,576,951 "," 542,556,651 "
Mar-2019," 517,020,057 "," 544,446,714 "
Apr-2019," 532,041,046 "," 543,191,446 "
May-2019," 576,765,031 "," 550,108,806 "
Jun-2019," 618,224,369 "," 547,527,789 "
Jul-2019," 657,244,637 "," 541,927,007 "
Aug-2019," 626,644,744 "," 547,437,545 "
Sep-2019," 528,336,348 "," 560,834,822 "
Oct-2019," 540,165,523 "," 544,026,576 "
Nov-2019," 524,186,383 "," 541,637,909 "
Dec-2019," 583,637,283 "," 545,466,636 "
Jan-2020," 447,564,878 "," 540,647,991 "
Feb-2020," 400,433,113 "," 537,544,252 "
Mar-2020," 233,377,315 "," 262,750,124 "
Apr-2020," 36,018,048 "," 45,395,059 "
May-2020," 69,098,462 "," 47,248,613 "
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
